Rank,Year,Movie,Worldwide,Domestic,International
,,,Box Office,Box Office,Box Office
79,2017,Guardians of the Galaxy Vol 2,"$869,087,963 ","$389,813,101 ","$479,274,862 "
80,2013,The Hunger Games: Catching Fire,"$864,868,047 ","$424,668,047 ","$440,200,000 "
81,2018,Venom,"$856,081,053 ","$213,511,408 ","$642,569,645 "
82,2015,Inside Out,"$850,566,343 ","$356,461,711 ","$494,104,632 "
83,2017,Thor: Ragnarok,"$850,482,778 ","$315,058,289 ","$535,424,489 "
84,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877 ","$380,270,577 ","$468,728,300 "
85,2021,"Ni Hao, Li Huan Ying","$841,674,419 ",,"$841,674,419 "
86,2009,Transformers: Revenge of the Fallen,"$836,519,699 ","$402,111,870 ","$434,407,829 "
87,2017,Zhan Lang 2,"$835,474,171 ","$2,721,100 ","$832,753,071 "
88,2022,Black Panther: Wakanda Forever,"$830,630,199 ","$453,512,292 ","$377,117,907 "
89,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737 ","$292,324,737 ","$537,400,000 "
90,2002,Spider-Man,"$821,706,375 ","$403,706,375 ","$418,000,000 "
91,2017,Wonder Woman,"$817,691,766 ","$412,563,408 ","$405,128,358 "
92,1996,Independence Day,"$817,400,878 ","$306,169,255 ","$511,231,623 "
93,2016,Fantastic Beasts and Where to Find Them,"$811,724,385 ","$234,037,575 ","$577,686,810 "
94,2007,Shrek the Third,"$807,330,936 ","$322,719,944 ","$484,610,992 "
95,2019,Jumanji: The Next Level,"$798,210,215 ","$316,831,246 ","$481,378,969 "
96,2017,Coco,"$797,660,271 ","$210,460,015 ","$587,200,256 "
97,1982,E.T. the Extra-Terrestrial,"$797,103,542 ","$439,251,124 ","$357,852,418 "
98,2017,Pirates of the Caribbean: Dead Men Te…,"$794,861,794 ","$172,558,876 ","$622,302,918 "
99,2004,Spider-Man 2,"$794,697,557 ","$373,524,485 ","$421,173,072 "
100,2004,Harry Potter and the Prisoner of Azkaban,"$789,592,708 ","$249,757,726 ","$539,834,982 "
