Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
Lawrence of Arabia,DavidLean,"""PeterOToole,"", AlecGuinness, AnthonyQuinn, JackHawkins",8.3,"Adventure,Biography,Drama",218min,U,1962
Spotlight,TomMcCarthy,"MarkRuffalo, MichaelKeaton, RachelMcAdams, LievSchreiber",8.1,"Biography,Crime,Drama",129min,A,2015
Dark Waters,ToddHaynes,"MarkRuffalo, AnneHathaway, TimRobbins, BillPullman",7.6,"Biography,Drama,History",126min,PG-13,2019
American Gangster,RidleyScott,"DenzelWashington, RussellCrowe, ChiwetelEjiofor, JoshBrolin",7.8,"Biography,Crime,Drama",157min,A,2007
The Bourne Identity,DougLiman,"FrankaPotente, MattDamon, ChrisCooper, CliveOwen",7.9,"Action,Mystery,Thriller",119min,UA,2002
Remember the Titans,BoazYakin,"DenzelWashington, WillPatton, WoodHarris, RyanHurst",7.8,"Biography,Drama,Sport",113min,U,2000
Road to Perdition,SamMendes,"TomHanks, TylerHoechlin, RobMaxey, LiamAiken",7.7,"Crime,Drama,Thriller",117min,A,2002
The Machinist,BradAnderson,"ChristianBale, JenniferJasonLeigh, AitanaSánchez-Gijón, JohnSharian",7.7,"Drama,Thriller",101min,R,2004
Coraline,HenrySelick,"DakotaFanning, TeriHatcher, JohnHodgman, JenniferSaunders",7.7,"Animation,Drama,Family",100min,U,2009
The Blues Brothers,JohnLandis,"JohnBelushi, DanAykroyd, CabCalloway, JohnCandy",7.9,"Action,Adventure,Comedy",133min,U,1980
Beauty and the Beast,"GaryTrousdale,",", ""PaigeOHara,"", RobbyBenson, JesseCorti, RexEverhart",8,"Animation,Family,Fantasy",84min,U,1991
Blood Diamond,EdwardZwick,"LeonardoDiCaprio, DjimonHounsou, JenniferConnelly, KagisoKuypers",8,"Adventure,Drama,Thriller",143min,A,2006
District 9,NeillBlomkamp,"SharltoCopley, DavidJames, JasonCope, NathalieBoltt",7.9,"Action,Sci-Fi,Thriller",112min,A,2009
My Cousin Vinny,JonathanLynn,"JoePesci, MarisaTomei, RalphMacchio, MitchellWhitfield",7.6,"Comedy,Crime",120min,UA,1992
Straight Outta Compton,F.GaryGray,"""OSheaJacksonJr.,"", CoreyHawkins, JasonMitchell, NeilBrownJr.",7.8,"Biography,Drama,History",147min,R,2015
Incredibles 2,BradBird,"CraigT.Nelson, HollyHunter, SarahVowell, HuckMilner",7.6,"Animation,Action,Adventure",118min,UA,2018
Doctor Zhivago,DavidLean,"OmarSharif, JulieChristie, GeraldineChaplin, RodSteiger",7.9,"Drama,Romance,War",197min,A,1965
The Hobbit: The Desolation of Smaug,PeterJackson,"IanMcKellen, MartinFreeman, RichardArmitage, KenStott",7.8,"Adventure,Fantasy",161min,UA,2013
Once Upon a Time in the West,SergioLeone,"HenryFonda, CharlesBronson, ClaudiaCardinale, JasonRobards",8.5,Western,165min,U,1968
Million Dollar Baby,ClintEastwood,"HilarySwank, ClintEastwood, MorganFreeman, JayBaruchel",8.1,"Drama,Sport",132min,UA,2004
Young Frankenstein,MelBrooks,"GeneWilder, MadelineKahn, MartyFeldman, PeterBoyle",8,Comedy,106min,A,1974
The Fault in Our Stars,JoshBoone,"ShaileneWoodley, AnselElgort, NatWolff, LauraDern",7.7,"Drama,Romance",126min,UA,2014
Primal Fear,GregoryHoblit,"RichardGere, LauraLinney, EdwardNorton, JohnMahoney",7.7,"Crime,Drama,Mystery",129min,A,1996
Star Trek Into Darkness,J.J.Abrams,"ChrisPine, ZacharyQuinto, ZoeSaldana, BenedictCumberbatch",7.7,"Action,Adventure,Sci-Fi",132min,UA,2013
Incendies,DenisVilleneuve,"LubnaAzabal, MélissaDésormeaux-Poulin, MaximGaudette, MustafaKamel",8.3,"Drama,Mystery",131min,18,2010
Groundhog Day,HaroldRamis,"BillMurray, AndieMacDowell, ChrisElliott, StephenTobolowsky",8.1,"Comedy,Drama,Fantasy",101min,U,1993
Crash,PaulHaggis,"DonCheadle, SandraBullock, ThandiweNewton, KarinaArroyave",7.8,"Crime,Drama,Thriller",112min,UA,2004
Birdman or (The Unexpected Virtue of Ignorance),AlejandroG.Iñárritu,"MichaelKeaton, ZachGalifianakis, EdwardNorton, AndreaRiseborough",7.7,"Comedy,Drama",119min,A,2014
Mononoke-hime,HayaoMiyazaki,"YôjiMatsuda, YurikoIshida, YûkoTanaka, BillyCrudup",8.4,"Animation,Adventure,Fantasy",134min,U,1997
Hotaru no haka,IsaoTakahata,"TsutomuTatsumi, AyanoShiraishi, AkemiYamaguchi, YoshikoShinohara",8.5,"Animation,Drama,War",89min,U,1988
As Good as It Gets,JamesL.Brooks,"JackNicholson, HelenHunt, GregKinnear, CubaGoodingJr.",7.7,"Comedy,Drama,Romance",139min,A,1997
The Right Stuff,PhilipKaufman,"SamShepard, ScottGlenn, EdHarris, DennisQuaid",7.8,"Adventure,Biography,Drama",193min,UA,1983
The Little Mermaid,"RonClements,",", JodiBenson, SamuelE.Wright, ReneAuberjonois, ChristopherDanielBarnes",7.6,"Animation,Adventure,Comedy",83min,U,1989
Lost in Translation,SofiaCoppola,"BillMurray, ScarlettJohansson, GiovanniRibisi, AnnaFaris",7.7,"Comedy,Drama",102min,UA,2003
Der Untergang,OliverHirschbiegel,"BrunoGanz, AlexandraMariaLara, UlrichMatthes, JulianeKöhler",8.2,"Biography,Drama,History",156min,R,2004
Gran Torino,ClintEastwood,"ClintEastwood, BeeVang, ChristopherCarley, AhneyHer",8.1,Drama,116min,UA,2008
Monty Python and the Holy Grail,"TerryGilliam,",", GrahamChapman, JohnCleese, EricIdle, TerryGilliam",8.2,"Adventure,Comedy,Fantasy",91min,U,1975
Fa Yeung Nin Wah,Kar-WaiWong,"TonyChiu-WaiLeung, MaggieCheung, SiuPing-Lam, ""TungChoJoeCheung""",8,"Drama,Romance",98min,U,2000
Shichinin no samurai,AkiraKurosawa,"ToshirôMifune, TakashiShimura, KeikoTsushima, YukikoShimazaki",8.6,"Action,Drama",207min,U,1954
Eastern Promises,DavidCronenberg,"NaomiWatts, ViggoMortensen, ArminMueller-Stahl, JosefAltin",7.6,"Crime,Drama,Thriller",100min,R,2007
This Is Spinal Tap,RobReiner,"RobReiner, MichaelMcKean, ChristopherGuest, KimberlyStringer",7.9,"Comedy,Music",82min,NA,1984
Finding Neverland,MarcForster,"JohnnyDepp, KateWinslet, JulieChristie, RadhaMitchell",7.7,"Biography,Drama,Family",106min,U,2004
The Lego Movie,"PhilLord,",", ChrisPratt, WillFerrell, ElizabethBanks, WillArnett",7.7,"Animation,Action,Adventure",100min,U,2014
Manchester by the Sea,KennethLonergan,"CaseyAffleck, MichelleWilliams, KyleChandler, LucasHedges",7.8,Drama,137min,UA,2016
Contratiempo,OriolPaulo,"MarioCasas, AnaWagener, JoseCoronado, BárbaraLennie",8,"Crime,Drama,Mystery",106min,16,2016
Deliverance,JohnBoorman,"JonVoight, BurtReynolds, NedBeatty, RonnyCox",7.7,"Adventure,Drama,Thriller",109min,U,1972
True Grit,"EthanCoen,",", JeffBridges, MattDamon, HaileeSteinfeld, JoshBrolin",7.6,"Drama,Western",110min,16,2010
The Kings Speech,TomHooper,"ColinFirth, GeoffreyRush, HelenaBonhamCarter, DerekJacobi",8,"Biography,Drama,History",118min,U,2010
The Trial of the Chicago 7,AaronSorkin,"EddieRedmayne, AlexSharp, SachaBaronCohen, JeremyStrong",7.7,"Drama,History,Thriller",129min,18,2020
Serenity,JossWhedon,"NathanFillion, GinaTorres, ChiwetelEjiofor, AlanTudyk",7.8,"Action,Adventure,Sci-Fi",119min,PG-13,2005
Das Boot,WolfgangPetersen,"JürgenProchnow, HerbertGrönemeyer, KlausWennemann, HubertusBengsch",8.4,"Drama,War",149min,R,1981
Hunt for the Wilderpeople,TaikaWaititi,"SamNeill, JulianDennison, RimaTeWiata, RachelHouse",7.8,"Adventure,Comedy,Drama",101min,UA,2016
Kill Bill: Vol. 2,QuentinTarantino,"UmaThurman, DavidCarradine, MichaelMadsen, DarylHannah",8,"Action,Crime,Thriller",137min,A,2004
Moon,DuncanJones,"SamRockwell, KevinSpacey, DominiqueMcElligott, RosieShaw",7.8,"Drama,Mystery,Sci-Fi",97min,R,2009
Its a Wonderful Life,FrankCapra,"JamesStewart, DonnaReed, LionelBarrymore, ThomasMitchell",8.6,"Drama,Family,Fantasy",130min,PG,1946
Misery,RobReiner,"JamesCaan, KathyBates, RichardFarnsworth, FrancesSternhagen",7.8,"Drama,Thriller",107min,A,1990
Falling Down,JoelSchumacher,"MichaelDouglas, RobertDuvall, BarbaraHershey, RachelTicotin",7.6,"Action,Crime,Drama",113min,UA,1993
Mary Poppins,RobertStevenson,"JulieAndrews, DickVanDyke, DavidTomlinson, GlynisJohns",7.8,"Comedy,Family,Fantasy",139min,U,1964
Wonder,StephenChbosky,"JacobTremblay, OwenWilson, IzabelaVidovic, JuliaRoberts",7.9,"Drama,Family",113min,U,2017
Capharnaüm,NadineLabaki,"ZainAlRafeea, YordanosShiferaw, BoluwatifeTreasureBankole, KawsarAlHaddad",8.4,Drama,126min,A,2018
Raging Bull,MartinScorsese,"RobertDeNiro, CathyMoriarty, JoePesci, FrankVincent",8.2,"Biography,Drama,Sport",129min,A,1980
Amores perros,AlejandroG.Iñárritu,"EmilioEchevarría, GaelGarcíaBernal, GoyaToledo, ÁlvaroGuerrero",8.1,"Drama,Thriller",154min,A,2000
A Streetcar Named Desire,EliaKazan,"VivienLeigh, MarlonBrando, KimHunter, KarlMalden",7.9,Drama,122min,A,1951
To Kill a Mockingbird,RobertMulligan,"GregoryPeck, JohnMegna, FrankOverton, RosemaryMurphy",8.3,"Crime,Drama",129min,U,1962
The Royal Tenenbaums,WesAnderson,"GeneHackman, GwynethPaltrow, AnjelicaHuston, BenStiller",7.6,"Comedy,Drama",110min,A,2001
Fantastic Mr. Fox,WesAnderson,"GeorgeClooney, MerylStreep, BillMurray, JasonSchwartzman",7.9,"Animation,Adventure,Comedy",87min,U,2009
Ed Wood,TimBurton,"JohnnyDepp, MartinLandau, SarahJessicaParker, PatriciaArquette",7.8,"Biography,Comedy,Drama",127min,U,1994
The Bridges of Madison County,ClintEastwood,"ClintEastwood, MerylStreep, AnnieCorley, VictorSlezak",7.6,"Drama,Romance",135min,A,1995
Life of Pi,AngLee,"SurajSharma, IrrfanKhan, AdilHussain, Tabu",7.9,"Adventure,Drama,Fantasy",127min,U,2012
Sense and Sensibility,AngLee,"EmmaThompson, KateWinslet, JamesFleet, TomWilkinson",7.7,"Drama,Romance",136min,U,1995
Mulan,"TonyBancroft,",", Ming-NaWen, EddieMurphy, BDWong, MiguelFerrer",7.6,"Animation,Adventure,Comedy",88min,U,1998
Dirty Harry,"DonSiegel,",", ClintEastwood, AndrewRobinson, HarryGuardino, ReniSantoni",7.7,"Action,Crime,Thriller",102min,A,1971
Rosemarys Baby,RomanPolanski,"MiaFarrow, JohnCassavetes, RuthGordon, SidneyBlackmer",8,"Drama,Horror",137min,A,1968
Star Trek II: The Wrath of Khan,NicholasMeyer,"WilliamShatner, LeonardNimoy, DeForestKelley, JamesDoohan",7.7,"Action,Adventure,Sci-Fi",113min,U,1982
Gone Baby Gone,BenAffleck,"MorganFreeman, EdHarris, CaseyAffleck, MichelleMonaghan",7.6,"Crime,Drama,Mystery",114min,A,2007
Wreck-It Ralph,RichMoore,"JohnC.Reilly, JackMcBrayer, JaneLynch, SarahSilverman",7.7,"Animation,Adventure,Comedy",101min,U,2012
The Count of Monte Cristo,KevinReynolds,"JimCaviezel, GuyPearce, ChristopherAdamson, JBBlanc",7.7,"Action,Adventure,Drama",131min,UA,2002
The Theory of Everything,JamesMarsh,"EddieRedmayne, FelicityJones, TomPrior, SophiePerry",7.7,"Biography,Drama,Romance",123min,U,2014
The Pursuit of Happyness,GabrieleMuccino,"WillSmith, ThandiweNewton, JadenSmith, BrianHowe",8,"Biography,Drama",117min,U,2006
Bãhubali: The Beginning,S.S.Rajamouli,"Prabhas, RanaDaggubati, AnushkaShetty, TamannaahBhatia",8,"Action,Drama",159min,UA,2015
Rear Window,AlfredHitchcock,"JamesStewart, GraceKelly, WendellCorey, ThelmaRitter",8.5,"Mystery,Thriller",112min,U,1954
3:10 to Yuma,JamesMangold,"RussellCrowe, ChristianBale, BenFoster, LoganLerman",7.7,"Action,Crime,Drama",122min,A,2007
Ang-ma-reul bo-at-da,Jee-woonKim,"LeeByung-hun, ChoiMin-sik, JeonGook-hwan, Ho-jinChun",7.8,"Action,Crime,Drama",144min,NotRated,2010
Citizen Kane,OrsonWelles,"OrsonWelles, JosephCotten, DorothyComingore, AgnesMoorehead",8.3,"Drama,Mystery",119min,UA,1941
Evil Dead II,SamRaimi,"BruceCampbell, SarahBerry, DanHicks, KassieWesleyDePaiva",7.7,"Comedy,Horror",84min,A,1987
Lion,GarthDavis,"DevPatel, NicoleKidman, RooneyMara, SunnyPawar",8,"Biography,Drama",118min,U,2016
The Great Escape,JohnSturges,"SteveMcQueen, JamesGarner, RichardAttenborough, CharlesBronson",8.2,"Adventure,Drama,History",172min,U,1963
Dog Day Afternoon,SidneyLumet,"AlPacino, JohnCazale, PenelopeAllen, SullyBoyar",8,"Biography,Crime,Drama",125min,U,1975
The Bridge on the River Kwai,DavidLean,"WilliamHolden, AlecGuinness, JackHawkins, SessueHayakawa",8.2,"Adventure,Drama,War",161min,U,1957
The Dirty Dozen,RobertAldrich,"LeeMarvin, ErnestBorgnine, CharlesBronson, JohnCassavetes",7.7,"Action,Adventure,War",150min,U,1967
Naked,MikeLeigh,"DavidThewlis, LesleySharp, KatrinCartlidge, GregCruttwell",7.7,"Comedy,Drama",131min,NA,1993
Gravity,AlfonsoCuarón,"SandraBullock, GeorgeClooney, EdHarris, OrtoIgnatiussen",7.7,"Action,Drama,Sci-Fi",91min,UA,2013
Scent of a Woman,MartinBrest,"AlPacino, ""ChrisODonnell,"", JamesRebhorn, GabrielleAnwar",8,Drama,156min,UA,1992
Some Like It Hot,BillyWilder,"MarilynMonroe, TonyCurtis, JackLemmon, GeorgeRaft",8.2,"Comedy,Music,Romance",121min,U,1959
North by Northwest,AlfredHitchcock,"CaryGrant, EvaMarieSaint, JamesMason, JessieRoyceLandis",8.3,"Action,Adventure,Mystery",136min,U,1959
Lord of War,AndrewNiccol,"NicolasCage, EthanHawke, JaredLeto, BridgetMoynahan",7.6,"Crime,Drama",122min,All,2005
Boyz n the Hood,JohnSingleton,"CubaGoodingJr., LaurenceFishburne, HudhailAl-Amir, LloydAveryII",7.8,"Crime,Drama",112min,A,1991
Akira,KatsuhiroÔtomo,"MitsuoIwata, NozomuSasaki, MamiKoyama, TesshôGenda",8,"Animation,Action,Drama",124min,UA,1988
The Boy in the Striped Pajamas,MarkHerman,"AsaButterfield, DavidThewlis, RupertFriend, ""ZacMattoonOBrien""",7.7,"Drama,War",94min,PG-13,2008
Brazil,TerryGilliam,"JonathanPryce, KimGreist, RobertDeNiro, KatherineHelmond",7.9,"Drama,Sci-Fi",132min,U,1985
Planet of the Apes,FranklinJ.Schaffner,"CharltonHeston, RoddyMcDowall, KimHunter, MauriceEvans",8,"Adventure,Sci-Fi",112min,U,1968
Mr. Nobody,JacoVanDormael,"JaredLeto, SarahPolley, DianeKruger, Linh-DanPham",7.8,"Drama,Fantasy,Romance",141min,R,2009
The Ten Commandments,CecilB.DeMille,"CharltonHeston, YulBrynner, AnneBaxter, EdwardG.Robinson",7.9,"Adventure,Drama,Family",220min,U,1956
The Naked Gun: From the Files of Police Squad!,DavidZucker,"LeslieNielsen, PriscillaPresley, O.J.Simpson, RicardoMontalban",7.6,"Comedy,Crime",85min,U,1988
Mad Max 2,GeorgeMiller,"MelGibson, BruceSpence, MichaelPreston, MaxPhipps",7.6,"Action,Adventure,Sci-Fi",96min,UA,1981
The Night of the Hunter,CharlesLaughton,"RobertMitchum, ShelleyWinters, LillianGish, JamesGleason",8,"Crime,Drama,Film-Noir",92min,A,1955
Awakenings,PennyMarshall,"RobertDeNiro, RobinWilliams, JulieKavner, RuthNelson",7.8,"Biography,Drama",121min,U,1990
Breakfast at Tiffanys,BlakeEdwards,"AudreyHepburn, GeorgePeppard, PatriciaNeal, BuddyEbsen",7.6,"Comedy,Drama,Romance",115min,A,1961
Ben-Hur,WilliamWyler,"CharltonHeston, JackHawkins, StephenBoyd, HayaHarareet",8.1,"Adventure,Drama,History",212min,U,1959
Vertigo,AlfredHitchcock,"JamesStewart, KimNovak, BarbaraBelGeddes, TomHelmore",8.3,"Mystery,Romance,Thriller",128min,A,1958
Dark City,AlexProyas,"RufusSewell, KieferSutherland, JenniferConnelly, WilliamHurt",7.6,"Fantasy,Mystery,Sci-Fi",100min,A,1998
All the Presidents Men,AlanJ.Pakula,"DustinHoffman, RobertRedford, JackWarden, MartinBalsam",7.9,"Drama,History,Thriller",138min,U,1976
Singin in the Rain,"StanleyDonen,",", GeneKelly, ""DonaldOConnor,"", DebbieReynolds, JeanHagen",8.3,"Comedy,Musical,Romance",103min,G,1952
A Bronx Tale,RobertDeNiro,"RobertDeNiro, ChazzPalminteri, LilloBrancato, FrancisCapra",7.8,"Crime,Drama",121min,R,1993
Nuovo Cinema Paradiso,GiuseppeTornatore,"PhilippeNoiret, EnzoCannavale, AntonellaAttili, IsaDanieli",8.5,"Drama,Romance",155min,U,1988
Match Point,WoodyAllen,"ScarlettJohansson, JonathanRhysMeyers, EmilyMortimer, MatthewGoode",7.6,"Drama,Romance,Thriller",124min,R,2005
Bridge of Spies,StevenSpielberg,"TomHanks, MarkRylance, AlanAlda, AmyRyan",7.6,"Drama,History,Thriller",142min,UA,2015
Rise of the Planet of the Apes,RupertWyatt,"JamesFranco, AndySerkis, FreidaPinto, KarinKonoval",7.6,"Action,Drama,Sci-Fi",105min,UA,2011
Tonari no Totoro,HayaoMiyazaki,"HitoshiTakagi, NorikoHidaka, ChikaSakamoto, ShigesatoItoi",8.1,"Animation,Comedy,Family",86min,U,1988
Philadelphia,JonathanDemme,"TomHanks, DenzelWashington, RobertaMaxwell, BuzzKilman",7.7,Drama,125min,UA,1993
Goldfinger,GuyHamilton,"SeanConnery, GertFröbe, HonorBlackman, ShirleyEaton",7.7,"Action,Adventure,Thriller",110min,A,1964
Midnight Cowboy,JohnSchlesinger,"DustinHoffman, JonVoight, SylviaMiles, JohnMcGiver",7.8,Drama,113min,A,1969
Barry Lyndon,StanleyKubrick,"""RyanONeal,"", MarisaBerenson, PatrickMagee, HardyKrüger",8.1,"Adventure,Drama,War",185min,U,1975
Dogville,LarsvonTrier,"NicoleKidman, PaulBettany, LaurenBacall, HarrietAndersson",8,"Crime,Drama",178min,7,2003
La piel que habito,PedroAlmodóvar,"AntonioBanderas, ElenaAnaya, JanCornet, MarisaParedes",7.6,"Drama,Horror,Thriller",120min,R,2011
The Thin Red Line,TerrenceMalick,"JimCaviezel, SeanPenn, NickNolte, KirkAcevedo",7.6,"Drama,History,War",170min,A,1998
Boyhood,RichardLinklater,"EllarColtrane, PatriciaArquette, EthanHawke, ElijahSmith",7.9,Drama,165min,A,2014
Empire of the Sun,StevenSpielberg,"ChristianBale, JohnMalkovich, MirandaRichardson, NigelHavers",7.7,"Drama,History,War",153min,U,1987
Close Encounters of the Third Kind,StevenSpielberg,"RichardDreyfuss, FrançoisTruffaut, TeriGarr, MelindaDillon",7.6,"Drama,Sci-Fi",138min,U,1977
Walk the Line,JamesMangold,"JoaquinPhoenix, ReeseWitherspoon, GinniferGoodwin, RobertPatrick",7.8,"Biography,Drama,Music",136min,U,2005
Being John Malkovich,SpikeJonze,"JohnCusack, CameronDiaz, CatherineKeener, JohnMalkovich",7.8,"Comedy,Drama,Fantasy",113min,R,1999
Creed,RyanCoogler,"MichaelB.Jordan, SylvesterStallone, TessaThompson, PhyliciaRashad",7.6,"Action,Drama,Sport",133min,UA,2015
Butch Cassidy and the Sundance Kid,GeorgeRoyHill,"PaulNewman, RobertRedford, KatharineRoss, StrotherMartin",8,"Biography,Crime,Drama",110min,U,1969
El secreto de sus ojos,JuanJoséCampanella,"RicardoDarín, SoledadVillamil, PabloRago, CarlaQuevedo",8.2,"Drama,Mystery,Romance",129min,R,2009
JFK,OliverStone,"KevinCostner, GaryOldman, JackLemmon, WalterMatthau",8,"Drama,History,Thriller",189min,UA,1991
Serbuan maut,GarethEvans,"IkoUwais, AnandaGeorge, RaySahetapy, DonnyAlamsyah",7.6,"Action,Crime,Thriller",101min,A,2011
Do the Right Thing,SpikeLee,"DannyAiello, OssieDavis, RubyDee, RichardEdson",7.9,"Comedy,Drama",120min,U,1989
The Magnificent Seven,JohnSturges,"YulBrynner, SteveMcQueen, CharlesBronson, EliWallach",7.7,"Action,Adventure,Western",128min,NA,1960
Chung Hing sam lam,Kar-WaiWong,"BrigitteLin, TakeshiKaneshiro, TonyChiu-WaiLeung, FayeWong",8,"Comedy,Crime,Drama",102min,U,1994
Spartacus,StanleyKubrick,"KirkDouglas, LaurenceOlivier, JeanSimmons, CharlesLaughton",7.9,"Adventure,Biography,Drama",197min,A,1960
My Fair Lady,GeorgeCukor,"AudreyHepburn, RexHarrison, StanleyHolloway, WilfridHyde-White",7.8,"Drama,Family,Musical",170min,U,1964
Carlitos Way,BrianDePalma,"AlPacino, SeanPenn, PenelopeAnnMiller, JohnLeguizamo",7.9,"Crime,Drama,Thriller",144min,A,1993
End of Watch,DavidAyer,"JakeGyllenhaal, MichaelPeña, AnnaKendrick, AmericaFerrera",7.6,"Action,Adventure,Crime",109min,A,2012
Sound of Metal,DariusMarder,"RizAhmed, OliviaCooke, PaulRaci, LaurenRidloff",7.7,"Drama,Music",120min,18,2019
Män som hatar kvinnor,NielsArdenOplev,"MichaelNyqvist, NoomiRapace, EwaFröling, LenaEndre",7.8,"Crime,Drama,Mystery",152min,R,2009
Before Sunset,RichardLinklater,"EthanHawke, JulieDelpy, VernonDobtcheff, LouiseLemoineTorrès",8.1,"Drama,Romance",80min,A,2004
The Birds,AlfredHitchcock,"RodTaylor, TippiHedren, JessicaTandy, SuzannePleshette",7.7,"Drama,Horror,Mystery",119min,A,1963
Pâfekuto burû,SatoshiKon,"JunkoIwao, RicaMatsumoto, ShinpachiTsuji, MasaakiÔkura",8,"Animation,Crime,Drama",81min,A,1997
Captain Phillips,PaulGreengrass,"TomHanks, BarkhadAbdi, BarkhadAbdirahman, CatherineKeener",7.8,"Action,Biography,Crime",134min,UA,2013
Fried Green Tomatoes,JonAvnet,"KathyBates, JessicaTandy, MaryStuartMasterson, Mary-LouiseParker",7.7,Drama,130min,U,1991
Glory,EdwardZwick,"MatthewBroderick, DenzelWashington, CaryElwes, MorganFreeman",7.8,"Biography,Drama,History",122min,U,1989
Adaptation.,SpikeJonze,"NicolasCage, MerylStreep, ChrisCooper, TildaSwinton",7.7,"Comedy,Drama",115min,R,2002
Dawn of the Planet of the Apes,MattReeves,"GaryOldman, KeriRussell, AndySerkis, KodiSmit-McPhee",7.6,"Action,Adventure,Drama",130min,UA,2014
The Bourne Supremacy,PaulGreengrass,"MattDamon, FrankaPotente, JoanAllen, BrianCox",7.7,"Action,Mystery,Thriller",108min,A,2004
La haine,MathieuKassovitz,"VincentCassel, HubertKoundé, SaïdTaghmaoui, AbdelAhmedGhili",8.1,"Crime,Drama",98min,NotRated,1995
Double Indemnity,BillyWilder,"FredMacMurray, BarbaraStanwyck, EdwardG.Robinson, ByronBarr",8.3,"Crime,Drama,Film-Noir",107min,NA,1944
The Jungle Book,WolfgangReitherman,"PhilHarris, SebastianCabot, LouisPrima, BruceReitherman",7.6,"Animation,Adventure,Comedy",78min,U,1967
Per un pugno di dollari,SergioLeone,"ClintEastwood, GianMariaVolontè, MarianneKoch, WolfgangLukschy",7.9,"Action,Drama,Western",99min,A,1964
The Color Purple,StevenSpielberg,"DannyGlover, WhoopiGoldberg, OprahWinfrey, MargaretAvery",7.7,Drama,154min,U,1985
The Sting,GeorgeRoyHill,"PaulNewman, RobertRedford, RobertShaw, CharlesDurning",8.3,"Comedy,Crime,Drama",129min,U,1973
Annie Hall,WoodyAllen,"WoodyAllen, DianeKeaton, TonyRoberts, CarolKane",8,"Comedy,Romance",93min,A,1977
The Man from Earth,RichardSchenkman,"DavidLeeSmith, TonyTodd, JohnBillingsley, EllenCrawford",7.9,"Drama,Fantasy,Mystery",87min,NA,2007
The Nightmare Before Christmas,HenrySelick,"DannyElfman, ChrisSarandon, ""CatherineOHara,"", WilliamHickey",7.9,"Animation,Family,Fantasy",76min,U,1993
Gandhi,RichardAttenborough,"BenKingsley, JohnGielgud, RohiniHattangadi, RoshanSeth",8.1,"Biography,Drama",191min,U,1982
Baahubali 2: The Conclusion,S.S.Rajamouli,"Prabhas, RanaDaggubati, AnushkaShetty, TamannaahBhatia",8.2,"Action,Drama",167min,UA,2017
The Elephant Man,DavidLynch,"AnthonyHopkins, JohnHurt, AnneBancroft, JohnGielgud",8.2,"Biography,Drama",124min,UA,1980
After Hours,MartinScorsese,"GriffinDunne, RosannaArquette, VernaBloom, TommyChong",7.6,"Comedy,Crime,Drama",97min,UA,1985
Kimetsu no Yaiba: Mugen Ressha-Hen,HaruoSotozaki,"NatsukiHanae, AkariKitô, YoshitsuguMatsuoka, HiroShimono",8.2,"Animation,Action,Adventure",117min,UA,2020
The Bourne Ultimatum,PaulGreengrass,"MattDamon, EdgarRamírez, JoanAllen, JuliaStiles",8,"Action,Mystery,Thriller",115min,UA,2007
Life of Brian,TerryJones,"GrahamChapman, JohnCleese, MichaelPalin, TerryGilliam",8,Comedy,94min,NA,1979
Papillon,FranklinJ.Schaffner,"SteveMcQueen, DustinHoffman, VictorJory, DonGordon",8,"Biography,Crime,Drama",151min,R,1973
Koe no katachi,NaokoYamada,"MiyuIrino, SaoriHayami, AoiYûki, KenshôOno",8.1,"Animation,Drama",130min,16,2016
Sunset Blvd.,BillyWilder,"WilliamHolden, GloriaSwanson, ErichvonStroheim, NancyOlson",8.4,"Drama,Film-Noir",110min,NA,1950
Die Hard: With a Vengeance,JohnMcTiernan,"BruceWillis, JeremyIrons, SamuelL.Jackson, GrahamGreene",7.6,"Action,Adventure,Thriller",128min,A,1995
Metropolis,FritzLang,"BrigitteHelm, AlfredAbel, GustavFröhlich, RudolfKlein-Rogge",8.3,"Drama,Sci-Fi",153min,NA,1927
The Conversation,FrancisFordCoppola,"GeneHackman, JohnCazale, AllenGarfield, FredericForrest",7.8,"Drama,Mystery,Thriller",113min,U,1974
Hachi: A Dogs Tale,LasseHallström,"RichardGere, JoanAllen, Cary-HiroyukiTagawa, SarahRoemer",8.1,"Biography,Drama,Family",93min,U,2009
M - Eine Stadt sucht einen Mörder,FritzLang,"PeterLorre, EllenWidmann, IngeLandgut, OttoWernicke",8.3,"Crime,Mystery,Thriller",117min,NA,1931
Traffic,StevenSoderbergh,"MichaelDouglas, BenicioDelToro, CatherineZeta-Jones, JacobVargas",7.6,"Crime,Drama,Thriller",147min,A,2000
The Iron Giant,BradBird,"EliMarienthal, HarryConnickJr., JenniferAniston, VinDiesel",8.1,"Animation,Action,Adventure",86min,U,1999
Snow White and the Seven Dwarfs,"WilliamCottrell,","WilfredJackson, LarryMorey, PercePearce, BenSharpsteen, , AdrianaCaselotti, HarryStockwell, LucilleLaVerne, RoyAtwell",7.6,"Animation,Adventure,Family",83min,U,1937
Rushmore,WesAnderson,"JasonSchwartzman, BillMurray, OliviaWilliams, SeymourCassel",7.6,"Comedy,Drama,Romance",93min,UA,1998
How to Train Your Dragon 2,DeanDeBlois,"JayBaruchel, CateBlanchett, GerardButler, CraigFerguson",7.8,"Animation,Action,Adventure",102min,U,2014
Paper Moon,PeterBogdanovich,"""RyanONeal,"", ""TatumONeal,"", MadelineKahn, JohnHillerman",8.1,"Comedy,Crime,Drama",102min,U,1973
