Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
Snatch,GuyRitchie,"JasonStatham, BradPitt, StephenGraham, VinnieJones",8.3,"Comedy,Crime",104min,UA,2000
Mulholland Dr.,DavidLynch,"NaomiWatts, LauraHarring, JustinTheroux, JeanneBates",7.9,"Drama,Mystery,Thriller",147min,UA,2001
American History X,TonyKaye,"EdwardNorton, EdwardFurlong, ""BeverlyDAngelo,"", JenniferLien",8.5,"Crime,Drama",119min,R,1998
Green Book,PeterFarrelly,"ViggoMortensen, MahershalaAli, LindaCardellini, SebastianManiscalco",8.2,"Biography,Comedy,Drama",130min,UA,2018
Willy Wonka & the Chocolate Factory,MelStuart,"GeneWilder, JackAlbertson, PeterOstrum, RoyKinnear",7.8,"Family,Fantasy,Musical",100min,U,1971
"O Brother, Where Art Thou?","JoelCoen,",", GeorgeClooney, JohnTurturro, TimBlakeNelson, JohnGoodman",7.7,"Adventure,Comedy,Crime",107min,U,2000
When Harry Met Sally...,RobReiner,"BillyCrystal, MegRyan, CarrieFisher, BrunoKirby",7.7,"Comedy,Drama,Romance",95min,UA,1989
Donnie Brasco,MikeNewell,"AlPacino, JohnnyDepp, MichaelMadsen, BrunoKirby",7.7,"Biography,Crime,Drama",127min,A,1997
Rain Man,BarryLevinson,"DustinHoffman, TomCruise, ValeriaGolino, GeraldR.Molen",8,Drama,133min,U,1988
Jagten,ThomasVinterberg,"MadsMikkelsen, ThomasBoLarsen, AnnikaWedderkopp, LasseFogelstrøm",8.3,Drama,115min,7,2012
Reservoir Dogs,QuentinTarantino,"HarveyKeitel, TimRoth, MichaelMadsen, ChrisPenn",8.3,"Crime,Drama,Thriller",99min,15+,1992
What We Do in the Shadows,"JemaineClement,",", JemaineClement, TaikaWaititi, CoriGonzalez-Macuer, JonnyBrugh",7.6,"Comedy,Horror",86min,R,2014
Almost Famous,CameronCrowe,"BillyCrudup, PatrickFugit, KateHudson, FrancesMcDormand",7.9,"Adventure,Comedy,Drama",122min,A,2000
The Martian,RidleyScott,"MattDamon, JessicaChastain, KristenWiig, KateMara",8,"Adventure,Drama,Sci-Fi",144min,UA,2015
Black Hawk Down,RidleyScott,"JoshHartnett, EwanMcGregor, TomSizemore, EricBana",7.7,"Action,Drama,History",144min,A,2001
Die Hard,JohnMcTiernan,"BruceWillis, AlanRickman, BonnieBedelia, ReginaldVelJohnson",8.2,"Action,Thriller",132min,A,1988
The Hateful Eight,QuentinTarantino,"SamuelL.Jackson, KurtRussell, JenniferJasonLeigh, WaltonGoggins",7.8,"Crime,Drama,Mystery",168min,A,2015
Fargo,"JoelCoen,",", WilliamH.Macy, FrancesMcDormand, SteveBuscemi, PeterStormare",8.1,"Crime,Thriller",98min,A,1996
Captain Fantastic,MattRoss,"ViggoMortensen, GeorgeMacKay, SamanthaIsler, AnnaliseBasso",7.8,"Comedy,Drama",118min,18,2016
Bound by Honor,TaylorHackford,"DamianChapa, JesseBorrego, BenjaminBratt, EnriqueCastillo",7.9,"Crime,Drama",180min,R,1993
The Thing,JohnCarpenter,"KurtRussell, WilfordBrimley, KeithDavid, RichardMasur",8.2,"Horror,Mystery,Sci-Fi",109min,A,1982
Into the Wild,SeanPenn,"EmileHirsch, VinceVaughn, CatherineKeener, MarciaGayHarden",8.1,"Adventure,Biography,Drama",148min,U,2007
Cast Away,RobertZemeckis,"TomHanks, HelenHunt, PaulSanchez, LariWhite",7.8,"Adventure,Drama,Romance",143min,UA,2000
The Game,DavidFincher,"MichaelDouglas, DeborahKaraUnger, SeanPenn, JamesRebhorn",7.7,"Drama,Mystery,Thriller",129min,UA,1997
Magnolia,PaulThomasAnderson,"TomCruise, JasonRobards, JulianneMoore, PhilipSeymourHoffman",8,Drama,188min,A,1999
The Blind Side,JohnLeeHancock,"QuintonAaron, SandraBullock, TimMcGraw, JaeHead",7.6,"Biography,Drama,Sport",129min,UA,2009
En man som heter Ove,HannesHolm,"RolfLassgård, BaharPars, FilipBerg, IdaEngvoll",7.7,"Comedy,Drama,Romance",116min,PG-13,2015
The Hobbit: An Unexpected Journey,PeterJackson,"MartinFreeman, IanMcKellen, RichardArmitage, AndySerkis",7.8,"Adventure,Fantasy",169min,UA,2012
Y tu mamá también,AlfonsoCuarón,"MaribelVerdú, GaelGarcíaBernal, DanielGiménezCacho, AnaLópezMercado",7.7,Drama,106min,A,2001
2001: A Space Odyssey,StanleyKubrick,"KeirDullea, GaryLockwood, WilliamSylvester, DanielRichter",8.3,"Adventure,Sci-Fi",149min,U,1968
The Incredibles,BradBird,"CraigT.Nelson, SamuelL.Jackson, HollyHunter, JasonLee",8,"Animation,Action,Adventure",115min,U,2004
Brokeback Mountain,AngLee,"JakeGyllenhaal, HeathLedger, MichelleWilliams, RandyQuaid",7.7,"Drama,Romance",134min,A,2005
The Intouchables,"OlivierNakache,",", FrançoisCluzet, OmarSy, AnneLeNy, AudreyFleurot",8.5,"Biography,Comedy,Drama",112min,UA,2011
La vita è bella,RobertoBenigni,"RobertoBenigni, NicolettaBraschi, GiorgioCantarini, GiustinoDurano",8.6,"Comedy,Drama,Romance",116min,U,1997
La La Land,DamienChazelle,"RyanGosling, EmmaStone, RosemarieDeWitt, J.K.Simmons",8,"Comedy,Drama,Music",128min,A,2016
Taken,PierreMorel,"LiamNeeson, MaggieGrace, FamkeJanssen, LelandOrser",7.8,"Action,Crime,Thriller",90min,A,2008
Back to the Future Part II,RobertZemeckis,"MichaelJ.Fox, ChristopherLloyd, LeaThompson, TomWilson",7.8,"Adventure,Comedy,Sci-Fi",108min,U,1989
Apocalypto,MelGibson,"GerardoTaracena, RaoulMaxTrujillo, DaliaHernández, RudyYoungblood",7.8,"Action,Adventure,Drama",139min,A,2006
The Girl with the Dragon Tattoo,DavidFincher,"DanielCraig, RooneyMara, ChristopherPlummer, StellanSkarsgård",7.8,"Crime,Drama,Mystery",158min,(Banned),2011
Toy Story 4,JoshCooley,"TomHanks, TimAllen, AnniePotts, TonyHale",7.7,"Animation,Adventure,Comedy",100min,U,2019
Mystic River,ClintEastwood,"SeanPenn, TimRobbins, KevinBacon, EmmyRossum",7.9,"Crime,Drama,Mystery",138min,A,2003
Finding Nemo,"AndrewStanton,",", AlbertBrooks, EllenDeGeneres, AlexanderGould, WillemDafoe",8.2,"Animation,Adventure,Comedy",100min,U,2003
Psycho,AlfredHitchcock,"AnthonyPerkins, JanetLeigh, VeraMiles, JohnGavin",8.5,"Horror,Mystery,Thriller",109min,A,1960
Rush,RonHoward,"DanielBrühl, ChrisHemsworth, OliviaWilde, AlexandraMariaLara",8.1,"Action,Biography,Drama",123min,R,2013
The Pianist,RomanPolanski,"AdrienBrody, ThomasKretschmann, FrankFinlay, EmiliaFox",8.5,"Biography,Drama,Music",150min,13,2002
Room,LennyAbrahamson,"BrieLarson, JacobTremblay, SeanBridgers, WendyCrewson",8.1,"Drama,Thriller",118min,U,2015
A Star Is Born,BradleyCooper,"LadyGaga, BradleyCooper, SamElliott, GregGrunberg",7.6,"Drama,Music,Romance",136min,A,2018
The Untouchables,BrianDePalma,"KevinCostner, SeanConnery, RobertDeNiro, CharlesMartinSmith",7.9,"Crime,Drama,Thriller",119min,A,1987
Idi i smotri,ElemKlimov,"AlekseyKravchenko, OlgaMironova, LiubomirasLaucevicius, VladasBagdonas",8.4,"Drama,Thriller,War",142min,A,1985
Pride,MatthewWarchus,"BillNighy, ImeldaStaunton, DominicWest, PaddyConsidine",7.8,"Biography,Comedy,Drama",119min,R,2014
The Mitchells vs the Machines,"MichaelRianda,",", AbbiJacobson, DannyMcBride, MayaRudolph, MichaelRianda",7.6,"Animation,Adventure,Comedy",114min,13,2021
The Butterfly Effect,"EricBress,",", AshtonKutcher, AmySmart, MeloraWalters, EldenHenson",7.6,"Drama,Sci-Fi,Thriller",113min,UA,2004
Midnight in Paris,WoodyAllen,"OwenWilson, RachelMcAdams, KathyBates, KurtFuller",7.7,"Comedy,Fantasy,Romance",94min,PG-13,2011
Argo,BenAffleck,"BenAffleck, BryanCranston, JohnGoodman, AlanArkin",7.7,"Biography,Drama,Thriller",120min,A,2012
"Monsters, Inc.","PeteDocter,","LeeUnkrich, , BillyCrystal, JohnGoodman, MaryGibbs, SteveBuscemi",8.1,"Animation,Adventure,Comedy",92min,U,2001
Sin City,"FrankMiller,","RobertRodriguez, , MickeyRourke, CliveOwen, BruceWillis, JessicaAlba",8,"Crime,Thriller",124min,A,2005
Shrek,"AndrewAdamson,",", MikeMyers, EddieMurphy, CameronDiaz, JohnLithgow",7.9,"Animation,Adventure,Comedy",90min,U,2001
Inside Out,"PeteDocter,",", AmyPoehler, BillHader, LewisBlack, MindyKaling",8.2,"Animation,Adventure,Comedy",95min,U,2015
V for Vendetta,JamesMcTeigue,"HugoWeaving, NataliePortman, RupertGraves, StephenRea",8.2,"Action,Drama,Sci-Fi",132min,UA,2005
Little Miss Sunshine,"JonathanDayton,",", SteveCarell, ToniCollette, GregKinnear, AbigailBreslin",7.8,"Comedy,Drama",101min,UA,2006
Home Alone,ChrisColumbus,"MacaulayCulkin, JoePesci, DanielStern, JohnHeard",7.7,"Comedy,Family",103min,U,1990
12 Years a Slave,SteveMcQueen,"ChiwetelEjiofor, MichaelKennethWilliams, MichaelFassbender, BradPitt",8.1,"Biography,Drama,History",134min,A,2013
Kick-Ass,MatthewVaughn,"AaronTaylor-Johnson, NicolasCage, ChloëGraceMoretz, GarrettM.Brown",7.6,"Action,Comedy,Crime",117min,UA,2010
Pans Labyrinth,GuillermodelToro,"IvanaBaquero, AriadnaGil, SergiLópez, MaribelVerdú",8.2,"Drama,Fantasy,War",118min,UA,2006
Blazing Saddles,MelBrooks,"CleavonLittle, GeneWilder, SlimPickens, HarveyKorman",7.7,"Comedy,Western",93min,A,1974
Zodiac,DavidFincher,"JakeGyllenhaal, RobertDowneyJr., MarkRuffalo, AnthonyEdwards",7.7,"Crime,Drama,Mystery",157min,UA,2007
Hell or High Water,DavidMackenzie,"ChrisPine, BenFoster, JeffBridges, GilBirmingham",7.6,"Action,Crime,Drama",102min,R,2016
Coco,"LeeUnkrich,",", AnthonyGonzalez, GaelGarcíaBernal, BenjaminBratt, AlannaUbach",8.4,"Animation,Adventure,Comedy",105min,U,2017
Druk,ThomasVinterberg,"MadsMikkelsen, ThomasBoLarsen, MagnusMillang, LarsRanthe",7.7,"Comedy,Drama",117min,16,2020
Marriage Story,NoahBaumbach,"AdamDriver, ScarlettJohansson, JuliaGreer, AzhyRobertson",7.9,"Drama,Romance",137min,U,2019
First Blood,TedKotcheff,"SylvesterStallone, BrianDennehy, RichardCrenna, BillMcKinney",7.7,"Action,Adventure,Thriller",93min,A,1982
Kimi no na wa.,MakotoShinkai,"RyûnosukeKamiki, MoneKamishiraishi, RyôNarita, AoiYûki",8.4,"Animation,Drama,Fantasy",106min,U,2016
Training Day,AntoineFuqua,"DenzelWashington, EthanHawke, ScottGlenn, TomBerenger",7.7,"Action,Crime,Drama",122min,A,2001
